127.0.0.1 - - [11/Sep/2023:00:07:42 +0530] "GET / HTTP/1.1" 404 751
0:0:0:0:0:0:0:1 - - [11/Sep/2023:00:07:43 +0530] "GET /project_3/ HTTP/1.1" 200 780
0:0:0:0:0:0:0:1 - - [11/Sep/2023:00:07:43 +0530] "GET /project_3/img/indexImg.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [11/Sep/2023:00:07:43 +0530] "GET /favicon.ico HTTP/1.1" 404 762
0:0:0:0:0:0:0:1 - - [11/Sep/2023:00:09:00 +0530] "GET /project_3/ HTTP/1.1" 200 782
0:0:0:0:0:0:0:1 - - [11/Sep/2023:00:09:10 +0530] "GET /project_3/ HTTP/1.1" 200 780
0:0:0:0:0:0:0:1 - - [11/Sep/2023:00:13:46 +0530] "GET /project_3/WelcomeCtl HTTP/1.1" 200 3866
0:0:0:0:0:0:0:1 - - [11/Sep/2023:00:13:46 +0530] "GET /resources/demos/style.css HTTP/1.1" 404 784
0:0:0:0:0:0:0:1 - - [11/Sep/2023:11:11:13 +0530] "GET /project_3/UserRegistrationCtl HTTP/1.1" 200 12525
0:0:0:0:0:0:0:1 - - [11/Sep/2023:11:11:13 +0530] "GET /resources/demos/style.css HTTP/1.1" 404 784
0:0:0:0:0:0:0:1 - - [11/Sep/2023:11:11:13 +0530] "GET /project_3/img/custom.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [11/Sep/2023:11:11:13 +0530] "GET /project_3/img/register.jpg HTTP/1.1" 200 340508
0:0:0:0:0:0:0:1 - - [11/Sep/2023:11:11:13 +0530] "GET /resources/demos/style.css HTTP/1.1" 404 784
0:0:0:0:0:0:0:1 - - [11/Sep/2023:11:30:10 +0530] "GET /resources/demos/style.css HTTP/1.1" 404 784
0:0:0:0:0:0:0:1 - - [11/Sep/2023:13:28:35 +0530] "GET /project_3/LoginCtl HTTP/1.1" 200 7272
0:0:0:0:0:0:0:1 - - [11/Sep/2023:13:28:35 +0530] "GET /project_3/img/businessman-g173508c6c_1920.jpg HTTP/1.1" 200 491693
0:0:0:0:0:0:0:1 - - [11/Sep/2023:13:28:57 +0530] "POST /project_3/LoginCtl HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [11/Sep/2023:13:28:57 +0530] "POST /project_3/LoginCtl HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [11/Sep/2023:13:28:57 +0530] "GET /project_3/WelcomeCtl HTTP/1.1" 200 9995
0:0:0:0:0:0:0:1 - - [11/Sep/2023:13:28:57 +0530] "GET /resources/demos/style.css HTTP/1.1" 404 784
0:0:0:0:0:0:0:1 - - [11/Sep/2023:13:28:57 +0530] "GET /project_3/img/project3home.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [11/Sep/2023:13:30:06 +0530] "GET /project_3/LoginCtl HTTP/1.1" 200 13402
0:0:0:0:0:0:0:1 - - [11/Sep/2023:13:30:44 +0530] "GET /project_3/ctl/UserCtl HTTP/1.1" 200 19073
0:0:0:0:0:0:0:1 - - [11/Sep/2023:13:30:44 +0530] "GET /resources/demos/style.css HTTP/1.1" 404 784
0:0:0:0:0:0:0:1 - - [11/Sep/2023:13:30:44 +0530] "GET /project_3/img/whit.jpg HTTP/1.1" 200 194173
0:0:0:0:0:0:0:1 - - [11/Sep/2023:13:30:50 +0530] "GET /project_3/ctl/UserListCtl HTTP/1.1" 200 18341
0:0:0:0:0:0:0:1 - - [11/Sep/2023:13:30:50 +0530] "GET /project_3/js/jquery.min.js HTTP/1.1" 200 95935
0:0:0:0:0:0:0:1 - - [11/Sep/2023:13:30:50 +0530] "GET /project_3/js/CheckBox11.js HTTP/1.1" 200 612
0:0:0:0:0:0:0:1 - - [11/Sep/2023:13:37:02 +0530] "GET /project_3/ctl/CollegeListCtl HTTP/1.1" 200 18117
0:0:0:0:0:0:0:1 - - [11/Sep/2023:13:37:02 +0530] "GET /project_3/img/wback.jpg HTTP/1.1" 200 946405
